Company Name,Data Descriptions,Tags,Date,Link,Data Volume
CLAS Information Services,"Confidential customer information., Financial documents., Files from CEO PC., Operational and business files., Mailboxes & Internal and external email correspondence.","usa, lawyers","Oct 28, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/clasinfo.com/,450 Gb
The Povman Law Firm,"Confidential customer information., Financial documents., Files from CEO PC., Operational and business files., Mailboxes & Internal and external email correspondence.","usa, lawyers","Oct 22, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/lawyers-queens.com/,100 Gb
Gluckstein Personal Injury Lawyers,"Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Files from CFO PC., Operational and business files., Email and msg archives., Customer Data., Accidents.","canada, lawyers","Oct 22, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/gluckstein.com/,700 Gb
Hunter Dickinson Inc.,"BOD Chairman*: Robert Dickinson, Multiple affiliated companies’ data, Wide companies’ and their projects’ financial data, HR data, Partners and vendors data, Engineering data, Incidents and injuries data, Litigations data, Restricted data, Geological data, Data of projects and business operating in Africa/CIS and EU contries/Brazil/China and other regions, Minerals/graphite/silver/gold and other materials mining fields data, Mailboxes and internal & external email correspondence, Databases","canada, mining","Oct 9, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/hdimining.com/,9.5 Tb
Studio Legale Associato Isolabella,"Finance data, HR data, Incidents & casefiles, Court and litigations’ data, Exhibits, Clients’ PII & PHI records, Mailboxes, Internal and external email correspondence","italy, law, legal","Oct 7, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/studioisolabella.com/,1.3 Tb
Stein Fibers,"Finance data, HR data, Partners and vendors data, Clients and customers data, Engineering and technologies, Incidents and accidents, Mailboxes & Internal and external email correspondence, Databases","usa, manufacturing","Oct 7, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/steinfibers.com/,707 Gb
Ladov Law Firm,"Finance data, HR data, Casefiles, Court and litigations’ data, Exhibits, Clients’ PII data, Mailboxes and internal & external email correspondence","usa, law, legal","Oct 7, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/ladovlaw.com/,105 Gb
Eric Rossi CPA LLC,"Finance data, HR data, Incidents & casefiles, Court and litigations’ data, Exhibits, Clients’ PII & PHI records, Mailboxes, Internal and external email correspondence","usa, law","Oct 7, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/ericrossicpa.com/,910 Gb
Battle Lumber Co.,"Finance data, HR data, Partners and vendors data, Clients and customers data, Engineering, PII and PHI records, Incidents and accidents data, Mailboxes and internal & external email correspondence","usa, manufacturing","Oct 3, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/battlelumberco.com/,1.1 Tb
First Choice Sales & Marketing Group (First Choice),"Accounting Data., Clients Financial and Contract data., Contracts and workflow with partners like Walmart., Files from network users folders., Fileserver Data.","usa, marketing","Sep 23, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/firstchoicesale.com/,140 Gb
